Player_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1627759.0,8.96,17.94,0.5,2.07,5.86,0.33,3.01,4.29,0.62,1.2,4.33,5.53,3.56,1.19,0.53,2.37,2.64,23.0,5.89
1631112.0,0.53,1.0,0.29,0.0,0.13,0.0,0.33,0.53,0.08,0.2,0.13,0.33,0.33,0.0,0.0,0.13,0.6,1.4,-1.6
1641738.0,0.84,2.05,0.28,0.32,1.09,0.16,0.02,0.05,0.01,0.45,0.95,1.41,0.57,0.27,0.14,0.2,1.11,2.02,-2.09
1629650.0,1.5,2.95,0.43,0.0,0.0,0.0,0.41,1.41,0.11,1.68,2.23,3.91,0.32,0.23,0.32,0.5,1.23,3.41,-2.68
1630535.0,0.83,1.83,0.27,0.17,0.5,0.08,0.67,1.5,0.16,0.5,1.0,1.5,0.67,0.0,0.67,0.67,0.83,2.5,-1.5
1629718.0,0.25,1.25,0.09,0.25,0.88,0.17,0.0,0.0,0.0,0.12,0.12,0.25,0.0,0.0,0.25,0.25,0.62,0.75,-0.75
1628972.0,1.42,3.83,0.3,0.8,2.39,0.22,0.54,0.63,0.19,0.42,2.02,2.44,1.02,0.41,0.05,0.51,0.71,4.19,-2.15
1628973.0,10.26,21.4,0.47,2.74,6.83,0.37,5.47,6.45,0.79,0.56,3.05,3.61,6.74,0.91,0.17,2.42,1.87,28.73,6.65
1628418.0,2.26,3.92,0.49,0.11,0.58,0.06,1.08,1.24,0.44,1.05,2.66,3.71,0.61,0.26,0.42,0.55,1.21,5.71,0.29
1641723.0,2.0,5.41,0.36,0.53,2.35,0.19,0.24,0.47,0.1,0.35,1.59,1.94,1.59,0.41,0.29,0.59,1.18,4.76,-2.06
203493.0,0.77,1.86,0.31,0.61,1.52,0.31,0.02,0.02,0.02,0.14,1.52,1.66,0.34,0.27,0.11,0.23,0.66,2.18,-1.18
202692.0,3.18,8.62,0.33,1.88,5.0,0.34,2.2,2.53,0.55,0.36,1.91,2.27,1.33,0.42,0.18,0.73,1.14,10.44,-3.88
1630215.0,2.45,5.03,0.47,0.6,1.95,0.24,0.78,0.9,0.36,0.22,1.23,1.45,3.15,0.72,0.2,1.25,1.45,6.28,-1.2
202710.0,6.6,13.22,0.51,1.0,2.42,0.37,6.57,7.65,0.85,1.75,3.55,5.3,4.97,1.32,0.28,1.7,1.13,20.77,3.6
1631288.0,1.31,3.04,0.25,0.42,1.19,0.2,0.69,0.88,0.27,0.58,0.85,1.42,0.38,0.38,0.19,0.31,0.85,3.73,-1.04
203484.0,3.55,7.72,0.45,1.64,4.05,0.38,1.33,1.49,0.47,0.41,2.0,2.41,2.41,1.29,0.55,0.99,1.99,10.08,7.5
1641739.0,2.81,6.26,0.46,0.83,2.46,0.29,1.07,1.41,0.4,1.99,2.91,4.9,1.24,0.94,0.47,1.2,2.49,7.53,-2.71
203991.0,4.84,8.47,0.58,0.0,0.01,0.0,1.78,2.82,0.51,4.59,6.04,10.63,1.25,0.59,1.45,1.01,2.25,11.45,-0.23
1628975.0,1.92,5.07,0.32,1.07,3.25,0.27,0.06,0.1,0.03,0.15,0.68,0.83,1.31,0.51,0.22,0.5,0.99,4.96,0.39
1628976.0,4.05,7.73,0.53,1.16,3.11,0.34,1.69,2.44,0.48,2.04,4.89,6.93,1.73,0.64,0.51,1.24,2.2,10.96,0.95
1627936.0,3.56,7.62,0.48,1.92,4.69,0.4,1.03,1.35,0.35,0.87,2.97,3.85,3.48,1.69,0.99,1.44,2.55,10.07,0.07
1630658.0,0.56,1.0,0.36,0.0,0.0,0.0,0.38,0.38,0.19,0.38,0.38,0.75,0.19,0.12,0.0,0.19,0.69,1.5,-2.75
